RegionID,SizeRank,RegionName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018
394357,63,"Bakersfield, CA",225000,230500,230000,235000,238250,240000,244500,245000,240000,237000,235000,235000
394753,64,"Knoxville, TN",178200,186400,191750,189700,199400,206750,207200,199885,199000,207350,210720,202395
394653,65,"Greenville, SC",194559,186750,196000,195000,205550,210000,207745,196000,202012,203485,200000,207800
394952,66,"Ventura, CA",610000,575000,582000,606500,610000,629000,600000,602703,619000,625000,600000,607000
394318,67,"Allentown, PA",184900,170000,185000,185000,197000,200000,200500,209900,189450,199507,195000,192000
394561,68,"El Paso, TX",149950,150950,155950,155236,154475,156000,161000,155950,154975,157950,158600,159000
394367,69,"Baton Rouge, LA",192900,209900,205000,200000,206500,209535,208000,206000,214000,203400,215000,208700
394521,70,"Dayton, OH",119900,135000,130000,140000,146000,154000,155000,145900,145500,143450,145000,145000
394843,71,"McAllen, TX",145000,141750,138500,144950,144500,140000,150500,144000,144000,150000,143000,140000
394486,72,"Columbia, SC",168000,170000,170000,170750,175000,180000,178000,175000,183000,175000,176700,180000
394648,73,"Greensboro, NC",142000,150000,164000,160000,161250,172000,170000,165000,166000,158000,172500,153250
394304,74,"Akron, OH",127500,117750,125000,140500,141650,155000,150000,149950,153400,147500,160000,145000
753906,75,"North Port-Sarasota-Bradenton, FL",285000,281450,284000,285000,285000,285400,289000,285000,285000,284000,295963,305000
394798,76,"Little Rock, AR",155000,157500,157500,164900,167000,172000,169900,159900,162500,160750,166950,165000
395134,77,"Stockton, CA",368000,390000,400000,385000,390000,394000,377000,400000,388750,389000,404821,407500
394457,78,"Charleston, SC",267355,262069,271032,271552,285000,285950,275500,278000,285000,268750,275600,275000
395143,79,"Syracuse, NY",123000,129200,125000,132500,139900,149350,142500,148000,142000,135000,142000,140000
394484,80,"Colorado Springs, CO",292000,305000,303750,310000,318148,325000,315885,315500,314000,307465,310000,310000
395235,81,"Winston-Salem, NC",162000,154700,155000,159250,168000,165000,164000,169900,165000,164068,170000,179000
